FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/06/2019;ES01;1-;1344;1048;675;501;416;467;368;536;810;971;1129;1403
01/06/2019;ES01;1=;1598;1581;1264;1221;1333;1268;1340;1508;1220;916;1061;1056
01/06/2019;ES01;2-;760;659;523;419;386;405;343;487;758;1124;1231;1399
01/06/2019;ES01;2=;1335;1283;1033;1064;1081;1218;1170;1059;913;620;899;1016
01/06/2019;ES02;1-;500;447;377;322;245;314;297;373;570;684;763;817
01/06/2019;ES02;1=;814;866;780;736;741;707;809;876;787;718;583;612
01/06/2019;ES02;2-;700;485;476;338;311;244;326;358;446;565;696;728
01/06/2019;ES02;2=;786;704;687;707;547;654;632;638;716;693;579;510
01/06/2019;ES03;1-;664;470;394;322;244;213;290;465;729;906;1260;1433
01/06/2019;ES03;1=;1608;1559;1541;1097;957;1206;1397;1328;1437;1462;1079;809
01/06/2019;ES03;2-;505;415;279;225;154;131;166;217;351;459;652;852
01/06/2019;ES03;2=;1002;1125;1324;932;690;792;980;972;1082;1019;972;633
01/06/2019;ES04;1-;470;416;361;230;183;173;180;219;361;515;682;852
01/06/2019;ES04;1=;858;960;995;656;487;681;877;911;1053;968;687;509
01/06/2019;ES04;2-;324;274;212;147;96;106;123;166;239;397;524;626
01/06/2019;ES04;2=;738;744;727;413;349;455;481;451;521;537;382;276
01/06/2019;ES05;1-;1650;1351;1135;984;768;940;867;937;1483;1829;1958;2088
01/06/2019;ES05;1=;2281;2276;1765;1618;1796;1744;1918;2227;2061;1705;1778;1901
01/06/2019;ES05;2-;477;438;292;277;323;527;684;960;1427;1450;1440;1586
01/06/2019;ES05;2=;1623;1511;1035;1049;1233;1466;1500;1630;1368;1099;895;778
01/06/2019;ES06;1-;224;120;95;61;65;119;176;258;355;468;594;564
01/06/2019;ES06;1=;630;597;386;423;441;533;552;639;543;347;337;333
01/06/2019;ES06;2-;286;192;147;118;99;131;175;290;401;566;587;643
01/06/2019;ES06;2=;695;638;472;450;537;563;658;595;560;396;418;413
01/06/2019;ES07;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES07;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES07;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES07;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES08;1-;690;608;624;563;516;485;517;577;697;884;828;854
01/06/2019;ES08;1=;874;819;896;866;791;748;866;912;787;715;794;793
01/06/2019;ES08;2-;823;715;654;657;511;504;550;602;732;841;949;985
01/06/2019;ES08;2=;967;977;978;1037;954;942;945;949;967;816;768;875
01/06/2019;ES09;1-;654;635;632;620;605;543;617;606;629;739;859;1025
01/06/2019;ES09;1=;974;1039;956;906;933;770;704;880;906;869;738;710
01/06/2019;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES10;2-;336;280;183;186;151;149;223;331;375;470;571;654
01/06/2019;ES10;2=;635;612;656;525;495;530;596;604;577;535;533;452
01/06/2019;ES11;1-;1609;0;316;165;128;114;182;491;780;1066;1394;1459
01/06/2019;ES11;1=;1537;1510;1542;1405;756;750;985;1126;1147;1306;981;676
01/06/2019;ES11;2-;5190;0;748;482;358;373;374;772;1205;1329;1702;2188
01/06/2019;ES11;2=;1662;1663;1281;958;475;354;414;86;638;1724;2861;2558
01/06/2019;ES12;1-;1561;1312;997;831;671;738;799;1096;1598;1780;1991;2104
01/06/2019;ES12;1=;2027;1889;1693;1698;1909;2021;1959;1933;2007;1646;1708;1654
01/06/2019;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES13;1-;829;747;629;517;433;455;391;551;768;982;1075;1239
01/06/2019;ES13;1=;1292;1236;978;895;911;1025;1191;1350;1250;961;866;854
01/06/2019;ES13;2-;1156;1077;914;747;589;670;535;686;977;1284;1458;1579
01/06/2019;ES13;2=;1667;1657;1355;1296;1413;1254;1391;1586;1459;1130;1116;1049
01/06/2019;ES14;1-;134;111;76;30;49;40;73;147;177;218;249;318
01/06/2019;ES14;1=;305;279;176;186;216;255;306;266;228;164;139;154
01/06/2019;ES14;2-;80;65;40;33;33;39;46;80;136;154;202;228
01/06/2019;ES14;2=;213;223;152;127;121;172;175;200;206;144;103;98
01/06/2019;ES15;1-;247;193;133;164;166;185;212;318;537;530;634;664
01/06/2019;ES15;1=;679;590;363;349;385;445;453;525;483;340;272;251
01/06/2019;ES15;2-;158;126;74;80;58;108;141;200;367;399;476;588
01/06/2019;ES15;2=;691;660;395;337;393;474;505;631;497;307;216;185
01/06/2019;ES16;1-;885;702;565;477;412;465;384;513;766;971;1280;1249
01/06/2019;ES16;1=;1516;1373;1013;979;1008;1033;1131;1271;1132;901;913;951
01/06/2019;ES16;2-;560;486;379;317;275;365;348;462;728;822;1070;1108
01/06/2019;ES16;2=;1133;982;832;790;998;923;1011;1224;977;766;702;642
01/06/2019;ES17;1-;1214;776;683;505;553;641;727;1211;1754;2054;2325;2464
01/06/2019;ES17;1=;2621;2389;1590;1650;2284;2364;2473;2851;2391;1644;1653;1450
01/06/2019;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES18;1-;301;196;177;160;141;155;161;247;357;492;623;691
01/06/2019;ES18;1=;633;623;418;383;477;597;659;702;604;396;317;258
01/06/2019;ES18;2-;422;312;293;182;147;125;81;192;320;573;797;789
01/06/2019;ES18;2=;868;834;522;519;653;813;876;923;843;551;475;490
01/06/2019;ES19;1-;582;541;418;374;286;372;368;431;596;717;883;836
01/06/2019;ES19;1=;855;794;610;595;661;716;765;862;820;600;555;481
01/06/2019;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2019;ES20;1-;9999;0;3622;2274;1630;1346;1411;2499;3426;4514;5988;7438
01/06/2019;ES20;1=;8523;8399;9640;9643;7210;6392;6441;7768;7948;8087;7574;6347
01/06/2019;ES20;2-;9999;0;2456;1569;1181;1212;1702;3554;4914;6561;8016;8232
01/06/2019;ES20;2=;9245;9306;9999;9613;6127;6299;7909;8680;8068;7989;7652;6057
01/06/2019;ES21;1-;326;256;170;148;142;156;143;285;475;593;744;876
01/06/2019;ES21;1=;835;862;484;474;579;609;680;756;672;459;426;400
01/06/2019;ES21;2-;372;245;215;188;148;187;257;412;674;858;1056;1214
01/06/2019;ES21;2=;1086;1044;550;528;756;989;934;1030;924;484;430;373
01/06/2019;ES22;1-;937;546;435;343;281;263;311;402;443;663;792;985
01/06/2019;ES22;1=;1103;1299;1373;890;854;844;867;899;892;723;606;600
01/06/2019;ES22;2-;846;662;608;453;390;326;317;366;458;766;888;1004
01/06/2019;ES22;2=;1047;1070;1143;909;768;900;873;982;1149;1049;880;751
01/06/2019;ES23;1-;1230;1128;850;765;721;896;872;1045;1585;1740;1866;2063
