FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/01/20;ES01;1-;1590;1171;589;367;414;445;296;166;138;193;288;420
01/01/20;ES01;1=;676;762;449;486;712;1046;1150;1269;1043;757;649;334
01/01/20;ES01;2-;1176;968;502;334;368;472;371;190;165;198;340;496
01/01/20;ES01;2=;675;676;476;570;857;966;1076;896;621;453;309;242
01/01/20;ES02;1-;959;944;551;418;310;382;317;227;238;263;290;383
01/01/20;ES02;1=;559;611;479;557;672;831;871;863;670;528;432;291
01/01/20;ES02;2-;436;1212;1189;813;543;464;446;460;274;242;269;367
01/01/20;ES02;2=;455;604;738;524;533;715;915;1033;1052;842;732;535
01/01/20;ES03;1-;492;1704;1304;591;394;277;283;428;304;273;353;407
01/01/20;ES03;1=;626;962;1336;670;622;833;1216;1255;1085;991;613;355
01/01/20;ES03;2-;267;886;988;386;224;188;215;247;224;150;164;240
01/01/20;ES03;2=;377;552;824;550;350;515;713;803;773;713;535;251
01/01/20;ES04;1-;212;1030;886;358;231;150;220;214;150;104;151;175
01/01/20;ES04;1=;296;564;842;348;325;518;730;863;793;659;457;250
01/01/20;ES04;2-;154;613;604;240;128;108;120;145;118;108;124;158
01/01/20;ES04;2=;203;373;492;252;177;320;402;459;363;370;233;123
01/01/20;ES05;1-;697;1876;1852;1308;973;955;994;933;618;484;509;601
01/01/20;ES05;1=;825;1125;1321;1117;1002;1232;1535;1829;1905;1610;1289;1101
01/01/20;ES05;2-;821;2219;2006;1132;692;494;753;577;460;430;502;664
01/01/20;ES05;2=;923;1440;1927;1294;1108;1764;2195;2399;2274;1590;1294;856
01/01/20;ES06;1-;615;358;183;123;102;137;130;70;73;111;134;222
01/01/20;ES06;1=;378;482;185;188;345;427;395;368;309;193;127;93
01/01/20;ES06;2-;578;417;207;136;107;122;110;102;92;96;148;193
01/01/20;ES06;2=;365;421;211;229;336;428;442;355;302;168;108;109
01/01/20;ES07;1-;900;2333;2004;968;573;450;576;652;448;377;454;661
01/01/20;ES07;1=;1126;1995;2194;1095;970;1611;2126;2168;1914;1530;1059;683
01/01/20;ES07;2-;1153;2343;1705;959;538;458;669;656;434;464;554;726
01/01/20;ES07;2=;1132;1815;1773;861;1185;1741;2162;2025;1793;1455;1017;620
01/01/20;ES08;1-;716;782;822;689;573;451;395;320;258;347;437;469
01/01/20;ES08;1=;476;490;552;565;619;723;831;758;654;537;473;417
01/01/20;ES08;2-;754;816;846;765;633;456;366;323;337;381;447;499
01/01/20;ES08;2=;514;490;514;577;588;692;830;781;625;579;479;414
01/01/20;ES09;1-;379;550;604;788;738;676;478;363;304;310;321;443
01/01/20;ES09;1=;455;503;511;515;576;640;587;633;730;605;464;406
01/01/20;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES10;2-;450;796;653;439;332;291;279;235;180;156;167;244
01/01/20;ES10;2=;363;459;498;362;353;501;612;580;499;403;331;230
01/01/20;ES11;1-;2537;0;3753;2475;1106;598;462;774;796;498;580;789
01/01/20;ES11;1=;1197;1929;3082;3253;1284;1582;2477;3465;3294;2822;2052;1380
01/01/20;ES11;2-;2928;0;3875;2876;1413;735;520;683;842;669;559;675
01/01/20;ES11;2=;1153;2033;3569;3891;1923;2082;3367;4662;4437;3743;2659;1851
01/01/20;ES12;1-;1530;1403;1116;864;787;796;632;406;373;419;554;880
01/01/20;ES12;1=;1547;1640;911;1038;1531;1730;1760;1695;1447;1104;733;446
01/01/20;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES13;1-;1426;1172;737;631;499;388;282;182;158;211;265;389
01/01/20;ES13;1=;569;615;416;461;660;890;932;880;703;556;387;260
01/01/20;ES13;2-;1375;1399;969;849;666;586;410;251;206;255;370;444
01/01/20;ES13;2=;633;751;478;571;722;974;1026;989;849;676;553;415
01/01/20;ES14;1-;189;165;101;66;65;39;44;22;37;53;54;84
01/01/20;ES14;1=;105;149;101;92;132;159;147;125;118;80;67;35
01/01/20;ES14;2-;133;151;57;58;60;28;27;14;20;29;41;51
01/01/20;ES14;2=;91;110;68;74;88;115;107;118;99;63;45;22
01/01/20;ES15;1-;603;434;160;105;88;123;142;78;59;92;138;222
01/01/20;ES15;1=;385;435;168;182;299;375;351;302;310;197;145;69
01/01/20;ES15;2-;619;336;107;66;63;103;82;75;45;69;97;170
01/01/20;ES15;2=;375;480;155;202;309;418;439;356;276;166;96;56
01/01/20;ES16;1-;1349;1101;687;464;383;379;319;188;172;237;317;481
01/01/20;ES16;1=;745;726;437;481;655;878;930;826;693;597;457;274
01/01/20;ES16;2-;902;767;1408;1281;244;223;168;112;94;129;198;281
01/01/20;ES16;2=;386;431;271;261;389;537;498;497;380;298;221;129
01/01/20;ES17;1-;2640;1898;982;665;565;625;541;354;367;381;577;1019
01/01/20;ES17;1=;1776;1917;898;1094;1763;2197;2165;2055;1554;1117;698;374
01/01/20;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES18;1-;492;332;189;157;119;145;111;67;73;102;134;230
01/01/20;ES18;1=;335;385;156;161;275;365;370;356;212;147;101;65
01/01/20;ES18;2-;664;540;288;246;197;188;143;97;63;88;195;326
01/01/20;ES18;2=;391;470;316;299;436;437;474;432;365;251;210;119
01/01/20;ES19;1-;851;703;469;351;270;311;229;177;137;191;244;353
01/01/20;ES19;1=;479;502;339;362;424;544;568;490;429;325;267;183
01/01/20;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/20;ES20;1-;8403;0;8840;6710;3531;2198;1746;2369;2435;1768;1397;1757
01/01/20;ES20;1=;2653;4220;6970;7326;4095;4051;6388;8517;8141;6876;5518;4222
01/01/20;ES20;2-;8100;0;9185;6830;3651;2202;1859;2822;2622;1684;1594;1886
01/01/20;ES20;2=;2881;4358;7847;8091;4069;4588;6727;9157;9246;8324;6574;4630
01/01/20;ES21;1-;854;576;254;173;158;176;139;87;91;109;189;275
01/01/20;ES21;1=;461;565;231;266;375;506;529;459;434;289;166;100
01/01/20;ES21;2-;1101;695;287;188;145;172;148;126;138;135;282;371
01/01/20;ES21;2=;602;744;305;320;527;662;620;599;458;305;152;99
01/01/20;ES22;1-;341;949;899;571;414;300;327;256;218;182;200;295
01/01/20;ES22;1=;372;547;687;451;402;610;754;791;787;573;497;334
01/01/20;ES22;2-;289;1048;1111;748;521;418;392;339;246;202;215;303
01/01/20;ES22;2=;436;609;765;483;506;699;923;888;906;699;566;489
01/01/20;ES23;1-;901;2098;1708;1332;980;767;921;617;455;388;437;590
01/01/20;ES23;1=;738;952;1117;860;833;1143;1713;1975;1831;1459;1103;871
01/01/20;ES23;2-;782;1879;2082;1746;1350;1313;1194;1044;637;491;564;709
01/01/20;ES23;2=;895;1063;1025;1041;1012;1309;1529;1789;1810;1529;1335;1095
01/01/20;ES24;1-;244;486;381;243;201;150;124;117;73;71;105;159
01/01/20;ES24;1=;219;336;376;220;221;291;369;391;342;304;239;206
01/01/20;ES24;2-;311;283;174;197;114;78;64;44;91;117;166;240
01/01/20;ES24;2=;277;274;176;219;235;306;317;248;207;144;100;77
01/01/20;ES25;1-;118;172;171;153;101;104;84;54;40;79;66;72
01/01/20;ES25;1=;73;82;82;98;91;100;105;112;128;97;90;61
