FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/12/2020;ES01;1-;35;30;18;18;85;614;1227;2658;2331;1797;1889;2009
01/12/2020;ES01;1=;2055;2356;1732;1668;1659;1839;2092;1798;1101;663;544;206
01/12/2020;ES01;2-;44;29;24;27;68;310;477;1284;1497;1264;1417;1406
01/12/2020;ES01;2=;1474;1478;1429;1318;1466;1642;1480;1117;832;520;436;191
01/12/2020;ES02;1-;205;78;67;73;51;66;161;457;828;817;787;866
01/12/2020;ES02;1=;884;878;794;811;768;786;794;818;799;651;488;396
01/12/2020;ES02;2-;264;134;71;62;61;165;555;1253;1197;1084;990;1058
01/12/2020;ES02;2=;1042;372;919;888;917;1063;1036;1131;1131;1091;853;589
01/12/2020;ES03;1-;153;102;65;63;63;118;397;1720;2619;2378;1837;1637
01/12/2020;ES03;1=;1621;1537;1864;1705;1581;1725;1648;1431;1219;1037;561;351
01/12/2020;ES03;2-;156;73;51;50;27;58;118;321;886;1105;1154;1386
01/12/2020;ES03;2=;1429;1576;1710;1677;1164;1459;1391;1327;1128;764;536;296
01/12/2020;ES04;1-;116;59;41;49;15;55;254;939;1091;1133;870;887
01/12/2020;ES04;1=;948;944;929;881;908;968;956;937;856;661;416;244
01/12/2020;ES04;2-;73;58;38;40;16;38;101;247;631;652;613;588
01/12/2020;ES04;2=;682;673;906;881;634;677;745;727;605;411;249;153
01/12/2020;ES05;1-;655;226;144;121;136;215;418;1052;1718;1985;2075;2369
01/12/2020;ES05;1=;2484;2832;3362;3385;2768;3022;3061;3191;2817;2101;1535;1155
01/12/2020;ES05;2-;199;81;65;73;83;191;1004;2104;2369;2298;2121;1895
01/12/2020;ES05;2=;1764;1772;1992;1926;1885;1892;1830;1752;1485;1197;738;442
01/12/2020;ES06;1-;18;12;13;14;46;195;711;841;914;678;727;753
01/12/2020;ES06;1=;766;875;730;815;743;892;751;621;396;229;166;42
01/12/2020;ES06;2-;16;13;10;13;27;129;444;877;811;704;785;760
01/12/2020;ES06;2=;778;908;893;852;875;894;735;583;334;207;138;60
01/12/2020;ES07;1-;384;117;87;63;76;167;659;1811;2204;2020;1675;1904
01/12/2020;ES07;1=;2138;2608;3619;3523;2611;2821;3226;2920;2311;1783;1381;772
01/12/2020;ES07;2-;137;58;38;50;107;585;3048;4337;3404;3043;2401;2254
01/12/2020;ES07;2=;2237;2582;3116;2634;2363;2338;2393;2045;1850;1395;774;420
01/12/2020;ES08;1-;267;128;85;84;74;50;173;408;623;695;922;872
01/12/2020;ES08;1=;881;775;694;683;796;788;788;734;736;722;480;473
01/12/2020;ES08;2-;53;12;7;12;11;12;27;58;518;837;907;852
01/12/2020;ES08;2=;845;723;732;665;785;892;489;431;675;684;360;212
01/12/2020;ES09;1-;282;100;74;61;63;110;200;398;669;860;954;764
01/12/2020;ES09;1=;907;913;896;819;811;852;799;819;834;702;535;454
01/12/2020;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES10;2-;106;49;40;45;71;157;438;669;681;629;588;576
01/12/2020;ES10;2=;663;624;691;651;656;676;691;629;569;441;367;223
01/12/2020;ES11;1-;365;99;46;29;34;62;451;3858;6199;5335;5743;4108
01/12/2020;ES11;1=;3516;3551;4050;5026;4612;3691;3601;3573;3348;2709;1997;1095
01/12/2020;ES11;2-;198;0;0;0;0;1;5;136;675;3465;2942;2279
01/12/2020;ES11;2=;3462;3697;4815;5843;5549;4403;4832;1850;1206;3641;2778;1886
01/12/2020;ES12;1-;85;57;39;73;170;897;1218;1430;1286;1553;1353;1382
01/12/2020;ES12;1=;1675;894;1341;1862;1727;1478;1646;1773;1727;1209;972;398
01/12/2020;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES13;1-;88;45;32;50;105;391;749;1524;1590;1395;1460;1486
01/12/2020;ES13;1=;1566;1598;1497;1516;1567;1602;1554;1352;958;652;561;271
01/12/2020;ES13;2-;87;70;45;51;101;365;1023;1591;1762;1674;1769;1766
01/12/2020;ES13;2=;1912;2020;1714;1625;1663;1786;1607;1292;1097;721;625;322
01/12/2020;ES14;1-;10;8;6;3;16;58;153;547;601;457;459;468
01/12/2020;ES14;1=;459;402;343;423;417;446;374;315;202;145;118;42
01/12/2020;ES14;2-;9;7;5;5;4;30;67;246;288;317;370;422
01/12/2020;ES14;2=;423;403;333;345;384;417;351;280;175;105;76;48
01/12/2020;ES15;1-;22;7;11;14;47;216;746;1076;939;810;808;766
01/12/2020;ES15;1=;755;997;864;799;788;678;720;569;422;235;194;62
01/12/2020;ES15;2-;12;15;16;11;28;119;469;960;1031;926;736;772
01/12/2020;ES15;2=;771;904;858;716;803;791;643;507;322;203;133;39
01/12/2020;ES16;1-;79;58;45;34;64;274;881;1502;1398;1326;1414;1654
01/12/2020;ES16;1=;1624;1657;1495;1541;1584;1547;1582;1420;1067;646;626;288
01/12/2020;ES16;2-;52;44;35;47;68;405;732;1573;1556;1613;1513;1426
01/12/2020;ES16;2=;1364;1410;1254;1342;1283;1392;1113;1042;743;477;359;150
01/12/2020;ES17;1-;78;60;44;81;189;1062;1860;3231;3156;2774;2536;2656
01/12/2020;ES17;1=;2646;2687;2568;2669;2650;2642;2429;2263;1763;1008;786;269
01/12/2020;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES18;1-;22;17;14;13;23;196;517;1049;1031;860;801;786
01/12/2020;ES18;1=;701;686;590;763;674;624;583;507;328;211;136;55
01/12/2020;ES18;2-;29;17;12;7;24;71;146;572;626;672;768;908
01/12/2020;ES18;2=;987;1121;902;794;921;1017;1025;896;521;313;250;97
01/12/2020;ES19;1-;50;48;33;32;70;211;344;927;1154;964;1001;1027
01/12/2020;ES19;1=;1028;996;884;905;994;998;958;748;576;440;275;161
01/12/2020;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/12/2020;ES20;1-;1583;0;301;240;268;388;842;3055;6887;8160;7408;6082
01/12/2020;ES20;1=;6750;7338;8534;9999;9999;8964;9973;9999;8998;7414;5595;3933
01/12/2020;ES20;2-;1967;693;323;236;289;587;2082;9371;9999;9322;9999;9391
01/12/2020;ES20;2=;8920;9090;9675;9999;9999;9973;9532;9771;8326;7506;5862;3508
01/12/2020;ES21;1-;26;16;20;18;45;129;486;1292;1006;864;992;1037
01/12/2020;ES21;1=;1200;1264;950;1042;1084;1135;1143;894;537;305;220;83
01/12/2020;ES21;2-;27;21;13;28;79;302;914;1837;2002;1508;1490;1510
01/12/2020;ES21;2=;1503;1616;1415;1616;1652;1662;1331;941;604;324;251;79
01/12/2020;ES22;1-;138;69;66;64;56;110;306;1027;1632;1490;1257;1196
01/12/2020;ES22;1=;1173;1101;1216;932;989;1051;1024;998;836;683;445;351
01/12/2020;ES22;2-;262;108;56;69;82;94;221;482;833;997;1019;1075
01/12/2020;ES22;2=;1106;1115;1292;1315;1069;1210;1222;1338;1163;879;613;556
01/12/2020;ES23;1-;259;168;124;114;101;232;1076;2974;3498;3464;2977;2549
01/12/2020;ES23;1=;2441;2322;2294;2101;2271;2180;2243;1741;1850;1408;1022;660
01/12/2020;ES23;2-;747;251;164;161;149;214;367;832;1438;1695;1837;2001
01/12/2020;ES23;2=;2393;2636;2927;2825;2340;2657;2743;2893;2409;2177;1471;1235
01/12/2020;ES24;1-;90;39;18;26;32;43;70;173;367;455;426;422
01/12/2020;ES24;1=;493;512;560;427;426;471;440;408;415;320;205;157
01/12/2020;ES24;2-;84;49;40;26;29;39;86;216;507;493;420;408
