FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/11/18;ES01;1-;808;721;674;524;480;479;407;425;482;724;867;953
01/11/18;ES01;1=;1134;1168;889;995;1215;1253;1258;1230;1046;825;801;588
01/11/18;ES01;2-;735;589;513;408;381;454;461;423;536;689;892;1012
01/11/18;ES01;2=;1154;1143;766;952;1143;1150;1117;970;819;601;582;509
01/11/18;ES02;1-;528;365;299;302;232;296;366;343;414;527;624;703
01/11/18;ES02;1=;779;780;715;671;788;818;830;756;664;558;440;360
01/11/18;ES02;2-;689;513;354;341;289;455;512;545;537;703;665;917
01/11/18;ES02;2=;1013;975;758;798;894;1106;1190;968;808;631;675;435
01/11/18;ES03;1-;406;330;251;228;210;341;566;644;769;1035;1200;1240
01/11/18;ES03;1=;1349;1289;760;849;1118;1213;1144;1071;1025;607;390;345
01/11/18;ES03;2-;323;229;194;147;152;212;271;320;369;551;729;864
01/11/18;ES03;2=;997;995;675;697;825;918;868;860;808;565;391;258
01/11/18;ES04;1-;454;372;338;230;205;175;200;251;243;306;399;533
01/11/18;ES04;1=;675;751;880;554;432;622;829;821;759;689;440;311
01/11/18;ES04;2-;260;212;156;146;131;151;161;231;249;332;451;543
01/11/18;ES04;2=;614;599;508;334;286;434;483;448;436;439;295;195
01/11/18;ES05;1-;1526;1097;1089;1034;852;1048;1168;972;1089;1469;1667;1736
01/11/18;ES05;1=;1840;1889;1621;1716;1897;1986;1855;1872;1738;1446;1362;1174
01/11/18;ES05;2-;522;314;257;243;325;587;679;665;838;1045;1246;1345
01/11/18;ES05;2=;1638;1479;1029;1027;1330;1468;1565;1315;1057;803;578;387
01/11/18;ES06;1-;155;108;73;70;63;103;179;166;233;314;389;451
01/11/18;ES06;1=;537;518;341;354;436;478;418;389;371;241;214;137
01/11/18;ES06;2-;170;122;87;58;81;113;149;163;221;318;399;438
01/11/18;ES06;2=;526;460;302;387;428;428;442;386;336;250;196;123
01/11/18;ES07;1-;1056;813;563;488;450;445;657;935;1103;1260;1647;2243
01/11/18;ES07;1=;2370;2277;2174;1793;1673;2093;2202;1951;1808;1751;1323;1052
01/11/18;ES07;2-;977;552;410;327;341;475;985;1129;1181;1419;1828;1947
01/11/18;ES07;2=;2225;2417;2230;1490;1565;2121;2809;2506;2261;1987;1380;639
01/11/18;ES08;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES08;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES08;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES08;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES09;1-;880;862;773;689;560;502;548;620;765;692;769;792
01/11/18;ES09;1=;937;910;924;762;852;859;952;877;956;875;768;781
01/11/18;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES10;2-;304;297;165;145;144;164;189;258;328;417;539;614
01/11/18;ES10;2=;614;579;511;437;501;535;602;573;534;500;444;303
01/11/18;ES11;1-;1979;0;552;353;264;250;378;1012;1555;1768;2152;2571
01/11/18;ES11;1=;2780;2855;2839;2603;1664;1689;2161;2423;2256;2142;1852;1287
01/11/18;ES11;2-;2557;0;733;488;351;353;377;751;1148;1561;1950;2472
01/11/18;ES11;2=;3189;3451;3846;3416;2535;2440;3130;3625;3662;3170;2548;1738
01/11/18;ES12;1-;1298;1169;960;819;702;780;787;844;988;1294;1580;1682
01/11/18;ES12;1=;1880;1907;1401;1443;1746;1899;1847;1862;1713;1308;1112;922
01/11/18;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES13;1-;921;736;589;481;368;390;511;418;465;629;752;901
01/11/18;ES13;1=;1060;1035;741;782;967;1069;1097;1038;899;671;577;491
01/11/18;ES13;2-;1423;1194;961;797;675;729;792;648;744;928;1067;1231
01/11/18;ES13;2=;1291;1415;1062;1055;1299;1327;1381;1394;1293;1056;1028;904
01/11/18;ES14;1-;115;99;69;82;60;59;72;77;119;149;225;229
01/11/18;ES14;1=;287;274;151;163;169;197;178;202;163;132;103;68
01/11/18;ES14;2-;73;48;41;56;30;57;46;42;79;117;127;146
01/11/18;ES14;2=;205;226;102;105;122;124;152;164;158;106;74;58
01/11/18;ES15;1-;224;190;132;143;143;223;216;232;289;373;484;507
01/11/18;ES15;1=;463;510;328;360;413;429;389;384;411;276;219;157
01/11/18;ES15;2-;126;119;83;80;112;124;120;131;192;275;362;392
01/11/18;ES15;2=;506;440;290;294;377;446;431;408;343;237;144;85
01/11/18;ES16;1-;936;730;566;549;438;458;457;500;623;847;970;1071
01/11/18;ES16;1=;1168;1041;861;945;1106;1056;1110;1055;970;815;743;572
01/11/18;ES16;2-;672;507;368;319;279;352;367;425;472;597;770;848
01/11/18;ES16;2=;1055;1045;676;679;803;991;1019;893;803;561;486;374
01/11/18;ES17;1-;975;853;708;624;569;703;647;838;982;1347;1638;1901
01/11/18;ES17;1=;2282;2299;1371;1461;2006;2250;2341;2145;1767;1214;915;617
01/11/18;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES18;1-;199;216;168;158;178;174;147;174;243;351;403;438
01/11/18;ES18;1=;563;475;303;337;479;440;442;383;286;222;138;129
01/11/18;ES18;2-;459;338;303;246;173;180;163;160;218;306;434;619
01/11/18;ES18;2=;775;772;530;507;649;574;596;610;554;342;329;262
01/11/18;ES19;1-;595;465;437;307;308;384;410;387;473;576;720;782
01/11/18;ES19;1=;789;772;567;550;682;740;874;872;695;516;404;355
01/11/18;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES20;1-;8399;0;2498;1829;1490;1190;1502;2603;3489;4060;5011;6888
01/11/18;ES20;1=;8046;8331;8685;7805;6158;5878;7086;7855;7085;6403;5713;4633
01/11/18;ES20;2-;7350;0;1903;1333;1020;1076;1637;3272;4167;4527;5329;6937
01/11/18;ES20;2=;7693;8152;8853;8448;5330;5689;6920;8367;8059;7138;6217;4647
01/11/18;ES21;1-;269;241;194;184;160;239;178;232;343;447;588;673
01/11/18;ES21;1=;698;719;430;479;500;631;628;572;532;347;295;227
01/11/18;ES21;2-;284;261;181;163;101;200;246;277;377;555;781;908
01/11/18;ES21;2=;958;900;462;510;659;791;780;725;583;353;227;205
01/11/18;ES22;1-;497;447;393;288;288;258;339;463;434;471;563;685
01/11/18;ES22;1=;703;842;755;604;578;631;758;801;746;633;505;456
01/11/18;ES22;2-;814;745;566;445;383;319;326;460;466;550;681;882
01/11/18;ES22;2=;941;1143;1112;857;732;927;999;1020;979;858;686;602
01/11/18;ES23;1-;1154;1003;939;855;736;1045;1050;917;926;1334;1526;1717
01/11/18;ES23;1=;1811;1836;1350;1385;1593;1808;1934;1667;1404;997;836;709
01/11/18;ES23;2-;1828;1525;1495;1307;1032;1140;1230;979;1036;1308;1527;1641
01/11/18;ES23;2=;1786;1773;1612;1818;1912;1902;1791;1799;1759;1485;1478;1422
01/11/18;ES24;1-;515;470;386;318;316;221;239;219;242;350;477;581
01/11/18;ES24;1=;676;718;725;550;490;606;697;706;674;638;482;418
01/11/18;ES24;2-;417;336;274;277;191;194;249;328;396;527;636;723
01/11/18;ES24;2=;794;578;448;432;591;611;637;556;452;310;301;236
01/11/18;ES25;1-;155;119;99;62;54;73;108;116;114;120;139;144
01/11/18;ES25;1=;140;144;131;152;154;158;142;176;154;137;128;128
01/11/18;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/18;ES26;1-;369;342;228;158;125;164;199;231;188;199;286;264
01/11/18;ES26;1=;263;258;279;222;306;254;321;291;265;289;233;215
01/11/18;ES26;2-;281;275;188;151;91;141;157;189;160;183;257;248
01/11/18;ES26;2=;264;288;231;220;255;223;230;261;244;225;195;171
01/11/18;ES27;1-;1145;920;872;787;726;814;869;817;951;1187;1542;1661
01/11/18;ES27;1=;1867;1695;1393;1544;1653;1635;1720;1584;1327;1162;1111;984
01/11/18;ES27;2-;741;750;713;667;564;596;586;517;526;604;744;909
01/11/18;ES27;2=;980;955;861;912;1035;1024;968;946;889;742;721;639
01/11/18;ES28;1-;188;177;147;117;108;179;234;275;299;490;495;520
01/11/18;ES28;1=;543;500;377;412;483;562;518;453;396;352;264;178
01/11/18;ES28;2-;241;156;159;183;173;313;418;395;468;547;608;710
01/11/18;ES28;2=;765;756;417;452;550;717;699;605;528;384;261;196
01/11/18;ES29;1-;793;657;619;519;616;748;934;954;1103;1134;2236;1593
01/11/18;ES29;1=;1599;1748;1883;1769;2642;1893;1690;1302;1112;906;793;640
01/11/18;ES29;2-;824;672;557;538;583;814;1165;1122;990;1428;1648;1860
01/11/18;ES29;2=;1949;1814;1363;1384;1705;1818;1814;1563;1310;1036;889;677
01/11/18;ES30;1-;259;221;163;155;150;130;127;150;151;244;269;310
01/11/18;ES30;1=;333;353;340;325;255;303;368;353;353;324;294;234
01/11/18;ES30;2-;374;305;282;207;222;174;211;255;294;310;438;511
01/11/18;ES30;2=;557;699;758;544;449;559;650;707;621;528;433;304
01/11/18;ES31;1-;149;100;82;62;80;69;63;74;100;143;144;186
01/11/18;ES31;1=;243;253;258;182;145;202;193;198;216;180;157;124
01/11/18;ES31;2-;94;63;58;51;47;40;48;62;76;104;125;189
01/11/18;ES31;2=;193;234;228;117;112;132;181;187;174;131;91;66
