FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/07/20;ES01;1-;211;124;45;44;82;549;1279;1752;1701;1488;1644;1555
01/07/20;ES01;1=;1852;2184;1412;1251;1208;1319;1464;1296;881;575;527;458
01/07/20;ES01;2-;37;32;17;10;20;98;215;351;383;385;396;399
01/07/20;ES01;2=;401;427;447;368;371;369;360;307;249;125;118;104
01/07/20;ES02;1-;398;235;172;127;81;81;216;606;930;1090;1148;1301
01/07/20;ES02;1=;1316;1332;1247;1098;1154;1172;1136;1060;920;689;562;437
01/07/20;ES02;2-;433;247;146;101;89;115;517;1159;1364;1432;1243;1024
01/07/20;ES02;2=;991;932;1149;1106;1094;1018;1006;1016;1014;897;750;538
01/07/20;ES03;1-;378;220;122;106;80;116;408;1556;2329;2276;2032;1833
01/07/20;ES03;1=;1755;1648;1850;1773;1486;1578;1623;1608;1412;1221;721;522
01/07/20;ES03;2-;284;154;103;72;49;60;114;362;892;1024;1156;1340
01/07/20;ES03;2=;1526;1520;1724;1921;1331;1183;1376;1368;1276;840;643;428
01/07/20;ES04;1-;259;170;102;64;57;67;261;907;1160;1203;1061;1072
01/07/20;ES04;1=;1020;1063;1000;979;882;924;898;970;924;919;554;349
01/07/20;ES04;2-;153;117;71;52;49;44;117;301;528;619;700;769
01/07/20;ES04;2=;743;812;1000;1033;692;737;833;724;632;579;309;232
01/07/20;ES05;1-;868;594;389;239;195;219;447;1044;1593;1731;2026;2177
01/07/20;ES05;1=;2406;2607;3226;3346;2682;2421;2725;2739;2371;1907;1514;1179
01/07/20;ES05;2-;359;224;159;91;99;196;923;1900;2308;2211;1945;1726
01/07/20;ES05;2=;1692;1709;1882;1675;1603;1559;1714;1547;1447;1275;870;581
01/07/20;ES06;1-;64;31;20;18;42;194;553;602;632;661;726;766
01/07/20;ES06;1=;744;679;602;565;604;662;647;611;496;282;198;163
01/07/20;ES06;2-;75;50;30;28;30;113;451;585;624;661;671;725
01/07/20;ES06;2=;716;759;948;631;650;729;654;612;410;274;191;175
01/07/20;ES07;1-;366;209;140;61;53;160;649;1640;1898;1837;1798;2068
01/07/20;ES07;1=;2223;2723;3717;3726;2568;2571;2979;2693;2278;1877;1522;910
01/07/20;ES07;2-;448;243;128;61;105;501;2829;4265;3737;2983;2452;2339
01/07/20;ES07;2=;2185;2315;2882;2239;2085;1975;2316;2205;2097;1784;1206;677
01/07/20;ES08;1-;45;30;24;27;22;19;104;572;838;823;965;964
01/07/20;ES08;1=;940;993;1697;1239;1249;851;950;689;727;623;200;78
01/07/20;ES08;2-;357;215;189;122;135;124;180;145;549;739;875;894
01/07/20;ES08;2=;879;854;828;803;819;789;859;928;833;787;620;406
01/07/20;ES09;1-;334;268;170;133;92;113;184;363;611;829;849;800
01/07/20;ES09;1=;969;911;851;802;768;780;764;838;775;725;597;492
01/07/20;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES10;2-;201;143;83;83;80;157;397;641;587;552;558;444
01/07/20;ES10;2=;576;592;593;514;540;616;649;607;570;505;378;293
01/07/20;ES11;1-;921;546;234;159;79;118;583;3536;5478;5425;4583;3538
01/07/20;ES11;1=;3361;3275;3636;4686;3705;3060;3086;3533;3392;2927;2331;1482
01/07/20;ES11;2-;1303;925;484;262;176;184;341;1319;3235;3870;3629;3325
01/07/20;ES11;2=;3560;3616;4571;5798;5634;3945;4201;4991;4061;3779;3179;2476
01/07/20;ES12;1-;409;207;125;102;175;758;1615;1597;1944;2059;1794;1892
01/07/20;ES12;1=;1886;1480;1861;2049;1960;1883;1922;1977;1763;1317;1037;885
01/07/20;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES13;1-;224;145;91;66;109;329;955;1300;1443;1344;1393;1407
01/07/20;ES13;1=;1418;1501;1256;1313;1266;1357;1328;1317;983;699;504;459
01/07/20;ES13;2-;289;223;98;89;100;340;1038;1537;1694;1622;1640;1729
01/07/20;ES13;2=;1398;1919;1565;1347;1451;1640;1521;1501;1203;828;700;608
01/07/20;ES14;1-;32;12;9;2;12;38;109;204;289;274;314;284
01/07/20;ES14;1=;276;250;206;224;245;213;205;205;157;120;94;3
01/07/20;ES14;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES14;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES15;1-;80;26;33;22;43;241;686;884;856;764;779;777
01/07/20;ES15;1=;619;1009;832;717;691;786;674;657;448;280;202;161
01/07/20;ES15;2-;73;21;10;18;42;119;503;713;823;737;726;751
01/07/20;ES15;2=;542;838;639;614;584;575;528;500;427;269;152;126
01/07/20;ES16;1-;254;149;81;65;83;274;739;1191;1339;1388;1531;1686
01/07/20;ES16;1=;1702;1826;1749;1672;1854;1724;1674;1485;1069;728;594;540
01/07/20;ES16;2-;191;115;60;61;92;374;1190;1565;1706;1536;1433;1360
01/07/20;ES16;2=;1372;1371;1288;1225;1228;1274;1177;1173;937;612;446;369
01/07/20;ES17;1-;386;189;143;99;187;915;2456;3076;3038;2860;2788;2608
01/07/20;ES17;1=;1799;2651;2423;2319;2433;2517;2359;2421;1948;1423;1013;802
01/07/20;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES18;1-;83;47;28;20;21;183;582;794;799;725;691;694
01/07/20;ES18;1=;578;608;506;537;597;559;536;479;389;266;207;225
01/07/20;ES18;2-;129;70;35;16;26;70;236;413;506;594;717;779
01/07/20;ES18;2=;770;935;950;667;660;803;851;793;668;403;335;275
01/07/20;ES19;1-;152;118;68;48;58;193;501;683;966;914;943;1004
01/07/20;ES19;1=;972;954;836;819;954;941;912;739;566;452;316;235
01/07/20;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/20;ES20;1-;6090;2154;1337;688;507;526;1127;3820;7733;8064;7859;7168
01/07/20;ES20;1=;7746;8867;9999;7709;8497;9293;9742;9999;9218;8527;6880;5471
01/07/20;ES20;2-;5406;1980;1008;631;434;607;1892;8633;9999;9999;9999;9396
01/07/20;ES20;2=;9232;8870;9575;9999;9645;8494;8470;9261;8502;7908;6718;4770
01/07/20;ES21;1-;110;60;43;32;36;148;492;761;905;883;1014;1125
01/07/20;ES21;1=;1174;1246;848;836;890;970;1034;956;705;409;364;282
01/07/20;ES21;2-;140;44;31;30;58;270;789;1392;1566;1567;1423;1463
01/07/20;ES21;2=;1279;1405;1819;1186;1141;1283;1198;1050;822;444;285;229
01/07/20;ES22;1-;276;195;129;94;78;96;317;817;1229;1206;1037;973
01/07/20;ES22;1=;1099;1375;1168;1184;1208;1277;1140;951;861;680;506;422
01/07/20;ES22;2-;422;267;162;126;69;98;207;472;734;909;1020;1096
01/07/20;ES22;2=;1125;1268;1321;1314;1084;1096;1217;1249;1123;915;728;594
01/07/20;ES23;1-;531;344;254;171;135;212;1010;2418;3158;3004;2343;2107
01/07/20;ES23;1=;1959;1781;1895;1687;1608;1642;1651;1672;1521;1314;1013;726
01/07/20;ES23;2-;968;647;445;294;190;225;398;790;1298;1605;1933;2054
01/07/20;ES23;2=;2385;2473;2957;2823;2325;2247;2571;2441;2168;1882;1426;1201
01/07/20;ES24;1-;148;88;61;50;31;41;86;165;266;348;437;453
01/07/20;ES24;1=;450;430;539;403;332;428;425;440;399;316;227;188
01/07/20;ES24;2-;114;84;80;58;36;54;112;189;302;385;360;358
01/07/20;ES24;2=;368;342;332;321;307;334;318;349;325;237;197;150
01/07/20;ES25;1-;82;75;57;55;35;34;52;100;169;202;191;180
01/07/20;ES25;1=;174;191;193;172;185;194;183;201;201;221;153;146
