FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/05/20;ES01;1-;20;10;7;7;16;78;129;84;99;116;120;158
01/05/20;ES01;1=;149;166;115;98;81;108;84;110;92;75;46;26
01/05/20;ES01;2-;7;2;1;1;3;22;18;21;30;31;38;43
01/05/20;ES01;2=;48;39;39;29;33;17;29;24;26;22;11;11
01/05/20;ES02;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/20;ES02;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/20;ES02;2-;55;38;39;22;22;33;107;176;173;198;200;188
01/05/20;ES02;2=;203;216;211;183;137;130;168;175;167;193;147;114
01/05/20;ES03;1-;71;43;35;28;22;44;88;290;206;242;220;265
01/05/20;ES03;1=;260;249;401;288;168;174;215;194;207;331;241;108
01/05/20;ES03;2-;56;31;24;17;14;30;44;97;182;115;121;173
01/05/20;ES03;2=;193;200;260;301;128;134;121;117;141;172;197;82
01/05/20;ES04;1-;22;37;17;23;15;14;63;116;127;99;116;126
01/05/20;ES04;1=;117;116;168;118;72;77;88;94;79;102;77;55
01/05/20;ES04;2-;22;4;18;23;8;24;35;95;73;53;68;64
01/05/20;ES04;2=;80;71;109;94;53;51;55;50;47;99;37;22
01/05/20;ES05;1-;169;90;80;44;51;59;131;251;217;230;271;311
01/05/20;ES05;1=;334;374;479;462;282;271;271;327;293;279;305;242
01/05/20;ES05;2-;100;60;59;58;29;88;330;328;332;259;302;276
01/05/20;ES05;2=;308;318;477;305;205;239;252;219;232;254;218;197
01/05/20;ES06;1-;3;8;11;5;13;40;82;75;60;98;105;95
01/05/20;ES06;1=;103;119;70;66;74;76;72;81;77;42;26;20
01/05/20;ES06;2-;15;4;8;8;11;21;38;57;91;89;106;121
01/05/20;ES06;2=;138;108;88;77;78;84;77;95;64;41;20;13
01/05/20;ES07;1-;107;37;26;29;25;46;204;324;325;246;255;211
01/05/20;ES07;1=;270;367;506;451;241;213;281;258;235;298;370;140
01/05/20;ES07;2-;65;25;39;21;19;127;479;590;364;318;294;279
01/05/20;ES07;2=;278;413;566;308;225;238;284;248;236;341;251;110
01/05/20;ES08;1-;43;27;20;17;10;18;45;102;172;184;200;183
01/05/20;ES08;1=;177;216;205;174;159;171;175;178;190;100;58;55
01/05/20;ES08;2-;72;60;56;43;43;60;65;109;138;176;180;171
01/05/20;ES08;2=;202;218;198;210;164;200;196;177;179;155;144;114
01/05/20;ES09;1-;54;22;39;14;22;26;57;53;95;108;159;155
01/05/20;ES09;1=;177;176;187;147;155;127;149;123;161;140;121;128
01/05/20;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/20;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/20;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/20;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/20;ES10;2-;46;12;29;9;16;39;73;114;95;109;94;129
01/05/20;ES10;2=;142;126;169;122;112;102;86;100;109;91;81;44
01/05/20;ES11;1-;595;0;26;31;22;21;139;567;851;534;425;356
01/05/20;ES11;1=;383;377;506;722;359;256;300;357;282;319;444;219
01/05/20;ES11;2-;885;0;43;49;19;30;79;363;475;454;133;123
01/05/20;ES11;2=;161;164;464;800;828;416;367;429;382;377;460;540
01/05/20;ES12;1-;31;15;16;16;32;99;180;211;198;264;247;318
01/05/20;ES12;1=;346;348;345;229;204;207;219;240;283;252;150;70
01/05/20;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/05/20;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/05/20;ES13;1-;32;25;24;28;28;77;101;117;148;139;153;162
01/05/20;ES13;1=;175;193;150;112;122;98;131;137;132;129;72;40
01/05/20;ES13;2-;38;24;19;18;31;70;94;97;131;157;192;222
01/05/20;ES13;2=;215;250;212;171;153;149;166;202;172;157;115;55
