FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/03/19;ES01;1-;562;409;297;247;283;845;2221;2461;2277;1924;2139;2282
01/03/19;ES01;1=;2409;2687;2255;1760;1839;1890;1798;1742;1590;1223;1012;1369
01/03/19;ES01;2-;452;363;265;192;234;424;879;1454;1634;1457;1579;1604
01/03/19;ES01;2=;1524;1724;1578;1626;1617;1560;1462;1526;1558;1051;822;812
01/03/19;ES02;1-;333;247;176;150;156;271;704;1021;986;946;993;1026
01/03/19;ES02;1=;948;1086;1086;917;986;970;964;973;985;745;620;630
01/03/19;ES02;2-;613;397;241;201;184;258;538;1353;1508;1304;1134;1144
01/03/19;ES02;2=;1134;1094;1152;1124;1042;1041;1060;1077;1111;1131;909;831
01/03/19;ES03;1-;438;260;161;124;123;183;606;2458;2493;2118;1955;1892
01/03/19;ES03;1=;1787;1643;1897;2075;1668;1669;1856;1754;1654;1544;1058;690
01/03/19;ES03;2-;412;211;141;105;104;93;144;397;948;1038;1153;1312
01/03/19;ES03;2=;1546;1592;1961;1993;1513;1493;1501;1326;1390;1349;1037;571
01/03/19;ES04;1-;317;214;162;112;80;93;308;1180;1426;1229;1047;993
01/03/19;ES04;1=;1073;1025;1099;1136;1001;983;1038;1020;1022;957;688;460
01/03/19;ES04;2-;257;140;112;87;66;65;145;397;773;690;598;694
01/03/19;ES04;2=;759;861;1051;1059;834;794;847;682;667;581;439;285
01/03/19;ES05;1-;1134;737;617;482;520;800;1203;1526;1801;1874;2139;2272
01/03/19;ES05;1=;2698;3160;3139;2814;2676;2533;2303;2383;2303;1841;1586;1633
01/03/19;ES05;2-;259;200;154;192;457;1433;2093;2015;2025;1767;1858;1820
01/03/19;ES05;2=;1743;1895;1851;1656;1780;1808;1821;1803;1567;1142;781;587
01/03/19;ES06;1-;80;38;41;22;58;298;994;899;792;749;744;870
01/03/19;ES06;1=;822;1250;1121;844;766;805;794;717;552;341;336;244
01/03/19;ES06;2-;92;51;54;38;58;188;615;836;720;705;729;776
01/03/19;ES06;2=;831;1108;1196;801;752;776;705;622;523;372;285;255
01/03/19;ES07;1-;859;458;262;191;188;268;841;2017;2346;1946;2073;2510
01/03/19;ES07;1=;2693;3145;4152;4160;3475;3218;3029;2658;2665;2284;1799;1241
01/03/19;ES07;2-;483;232;159;122;215;613;3430;4316;3556;2808;2560;2402
01/03/19;ES07;2=;2378;2637;3114;2751;2405;2528;2738;2660;2655;2146;1237;862
01/03/19;ES08;1-;618;503;381;334;362;559;732;791;884;878;855;915
01/03/19;ES08;1=;849;840;882;904;890;833;838;808;902;863;836;731
01/03/19;ES08;2-;594;449;408;368;421;538;797;1082;1009;957;1006;991
01/03/19;ES08;2=;1027;914;944;953;964;964;911;928;848;908;812;850
01/03/19;ES09;1-;847;762;641;580;410;474;571;794;936;1043;1083;935
01/03/19;ES09;1=;996;1141;984;1077;1090;1125;962;981;814;1052;892;1049
01/03/19;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/03/19;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/03/19;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/03/19;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/03/19;ES10;2-;203;159;107;89;98;160;410;654;556;595;564;606
01/03/19;ES10;2=;643;515;653;632;649;690;700;665;674;590;458;428
01/03/19;ES11;1-;687;0;113;62;42;50;260;2173;2936;2509;2004;1740
01/03/19;ES11;1=;1570;1537;1648;2343;2130;1617;1610;1632;1454;1369;1170;691
