FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/11/2020;ES01;1-;147;58;49;31;64;172;168;180;267;328;495;709
01/11/2020;ES01;1=;836;791;586;581;777;845;1155;1039;900;675;780;298
01/11/2020;ES01;2-;161;72;38;32;34;109;101;130;233;409;620;940
01/11/2020;ES01;2=;1012;886;541;724;925;997;939;848;570;401;540;252
01/11/2020;ES02;1-;331;250;124;78;67;73;85;118;167;202;308;484
01/11/2020;ES02;1=;656;645;718;558;474;616;660;690;591;542;465;442
01/11/2020;ES02;2-;333;220;142;216;163;71;124;200;259;352;572;508
01/11/2020;ES02;2=;773;636;768;710;601;864;925;935;822;714;558;536
01/11/2020;ES03;1-;391;145;83;78;82;76;149;293;317;435;693;968
01/11/2020;ES03;1=;1131;1160;1200;757;643;857;985;937;872;813;541;431
01/11/2020;ES03;2-;371;132;71;51;42;65;70;132;193;183;314;420
01/11/2020;ES03;2=;590;789;813;620;403;507;621;662;620;578;425;321
01/11/2020;ES04;1-;269;91;80;44;51;47;97;129;133;205;301;448
01/11/2020;ES04;1=;498;677;835;471;443;608;821;934;709;517;336;284
01/11/2020;ES04;2-;166;59;33;46;21;30;58;103;102;168;255;332
01/11/2020;ES04;2=;411;503;367;276;221;303;301;311;276;303;203;176
01/11/2020;ES05;1-;1672;849;236;144;124;119;229;333;325;433;581;564
01/11/2020;ES05;1=;346;573;1033;950;550;669;1066;1395;1542;1447;1185;1346
01/11/2020;ES05;2-;479;202;139;135;90;122;352;344;443;551;879;1291
01/11/2020;ES05;2=;1524;1706;1470;972;991;1262;1589;1531;1250;964;693;603
01/11/2020;ES06;1-;36;15;11;11;23;62;102;99;206;240;404;411
01/11/2020;ES06;1=;500;435;248;295;343;399;357;378;272;221;213;62
01/11/2020;ES06;2-;38;16;13;13;13;44;56;94;156;262;381;451
01/11/2020;ES06;2=;453;455;264;306;362;420;366;309;276;192;188;79
01/11/2020;ES07;1-;519;198;96;51;45;53;241;381;502;624;1081;2066
01/11/2020;ES07;1=;2362;2022;1874;1357;1254;1512;1656;1698;1457;1367;1062;900
01/11/2020;ES07;2-;264;105;62;44;48;141;542;649;637;968;1493;1758
01/11/2020;ES07;2=;2067;2235;1946;1095;1382;2048;2537;1993;1636;1364;1037;672
01/11/2020;ES08;1-;394;344;255;175;143;135;136;167;174;221;305;410
01/11/2020;ES08;1=;450;361;566;525;541;649;746;758;667;606;529;123
01/11/2020;ES08;2-;70;61;45;26;307;15;4;76;223;246;570;471
01/11/2020;ES08;2=;1035;604;546;421;470;702;767;591;529;335;167;193
01/11/2020;ES09;1-;490;407;194;134;142;113;117;170;204;295;493;626
01/11/2020;ES09;1=;789;901;936;793;755;827;941;813;744;688;563;585
01/11/2020;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2020;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2020;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2020;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2020;ES10;2-;193;95;60;47;34;36;93;157;199;322;437;543
01/11/2020;ES10;2=;569;571;564;433;387;509;497;523;452;422;336;294
01/11/2020;ES11;1-;856;0;88;56;51;56;158;623;985;1105;1696;2545
01/11/2020;ES11;1=;3201;3353;3231;2733;1375;1518;1999;2507;2173;1804;1509;1082
01/11/2020;ES11;2-;417;0;111;41;39;17;45;180;252;232;63;547
01/11/2020;ES11;2=;1250;446;576;568;291;310;1391;2963;3247;2370;1120;945
01/11/2020;ES12;1-;331;127;108;96;102;243;284;396;628;981;1373;1648
01/11/2020;ES12;1=;1949;1886;1353;1324;1806;1990;1976;1856;1568;1241;1565;652
01/11/2020;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2020;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
