FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/12/19;ES01;1-;1189;1032;741;531;437;398;215;227;183;308;475;682
01/12/19;ES01;1=;916;905;579;949;1278;1372;1329;1325;1001;721;522;373
01/12/19;ES01;2-;899;775;641;475;396;441;282;251;324;542;910;1085
01/12/19;ES01;2=;1099;1086;795;958;1181;1256;1096;881;734;534;469;314
01/12/19;ES02;1-;782;647;566;468;428;468;363;329;446;593;829;840
01/12/19;ES02;1=;907;1029;845;916;1075;931;893;884;806;621;516;384
01/12/19;ES02;2-;1007;808;717;540;459;453;494;413;416;583;750;955
01/12/19;ES02;2=;941;1104;872;826;734;844;1012;1094;962;990;673;603
01/12/19;ES03;1-;658;616;494;352;290;232;293;452;437;622;866;1408
01/12/19;ES03;1=;1431;1518;1635;1003;940;1309;1533;1417;1468;1127;702;474
01/12/19;ES03;2-;561;455;323;250;180;174;176;180;255;292;442;662
01/12/19;ES03;2=;851;1099;1306;970;683;890;1006;1046;1061;872;605;332
01/12/19;ES04;1-;410;399;314;232;168;159;171;152;233;314;450;680
01/12/19;ES04;1=;834;936;943;655;578;859;944;913;908;694;422;325
01/12/19;ES04;2-;317;316;228;153;126;113;111;124;161;250;357;514
01/12/19;ES04;2=;510;586;685;409;357;509;544;513;508;449;249;222
01/12/19;ES05;1-;2017;1873;1703;1593;1454;1088;1145;905;660;763;958;1379
01/12/19;ES05;1=;1575;1889;1999;1829;1710;2028;2018;2124;1951;1908;1477;1270
01/12/19;ES05;2-;1141;994;801;728;576;493;739;713;795;1043;1371;1798
01/12/19;ES05;2=;1961;2265;2451;1656;1766;2172;2365;2373;2265;1913;1286;950
01/12/19;ES06;1-;190;142;75;55;62;88;98;119;186;288;450;527
01/12/19;ES06;1=;597;622;352;400;498;533;505;482;325;229;386;120
01/12/19;ES06;2-;219;141;109;75;65;65;84;114;172;288;406;502
01/12/19;ES06;2=;655;537;340;401;514;550;567;507;290;214;186;101
01/12/19;ES07;1-;1282;1065;890;652;565;422;600;605;710;917;1180;1694
01/12/19;ES07;1=;1950;2404;2388;1707;1531;2029;2233;2098;2023;1558;1275;982
