FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/06/20;ES01;1-;57;23;22;17;62;407;946;1185;1077;1014;987;1092
01/06/20;ES01;1=;1284;1444;959;712;743;905;860;769;510;280;205;142
01/06/20;ES01;2-;14;5;1;5;11;76;169;252;239;256;299;291
01/06/20;ES01;2=;289;251;244;206;206;270;201;167;114;69;50;41
01/06/20;ES02;1-;135;92;53;32;40;45;149;386;495;613;687;733
01/06/20;ES02;1=;671;755;755;669;532;557;610;591;518;435;311;175
01/06/20;ES02;2-;185;106;56;54;43;96;463;969;1196;1062;896;634
01/06/20;ES02;2=;545;606;820;819;761;774;736;631;667;583;437;253
01/06/20;ES03;1-;141;89;56;53;39;58;276;955;1173;1402;1313;1314
01/06/20;ES03;1=;1355;1200;1408;1205;1075;1114;1132;1074;935;803;426;297
01/06/20;ES03;2-;140;72;52;20;24;35;81;302;686;809;890;965
01/06/20;ES03;2=;1065;1146;1422;1264;684;719;873;900;801;620;403;222
01/06/20;ES04;1-;114;45;20;26;19;28;179;770;860;987;860;772
01/06/20;ES04;1=;705;727;755;702;608;591;651;584;537;413;319;177
01/06/20;ES04;2-;62;33;32;21;12;12;81;283;422;465;425;504
01/06/20;ES04;2=;514;579;783;718;427;440;559;532;470;402;182;82
01/06/20;ES05;1-;392;245;141;73;66;167;328;825;1157;1341;1462;1765
01/06/20;ES05;1=;1374;1656;955;885;1436;1453;1374;1525;1429;930;825;540
01/06/20;ES05;2-;189;112;66;45;58;165;827;926;673;822;1400;1433
01/06/20;ES05;2=;1376;1253;1318;1223;1257;1074;1177;1028;941;762;511;305
01/06/20;ES06;1-;18;11;10;8;33;160;414;491;502;536;550;550
01/06/20;ES06;1=;564;500;427;443;433;453;449;364;266;173;116;59
01/06/20;ES06;2-;20;19;10;18;19;97;305;448;499;509;546;526
01/06/20;ES06;2=;545;523;448;351;434;522;461;376;253;158;116;63
01/06/20;ES07;1-;92;61;29;12;12;91;601;1413;1478;1379;1256;1414
01/06/20;ES07;1=;1595;2132;3196;3004;1507;1587;2114;1754;1613;1188;949;459
01/06/20;ES07;2-;225;81;40;40;70;385;2369;3380;3001;2634;1918;1699
01/06/20;ES07;2=;1524;1825;2227;1859;1475;1420;1451;1334;1279;1103;693;396
01/06/20;ES08;1-;75;219;234;74;59;43;173;460;654;766;798;752
01/06/20;ES08;1=;813;805;854;651;567;628;656;656;654;529;659;115
01/06/20;ES08;2-;201;148;117;85;73;97;184;327;527;650;708;737
01/06/20;ES08;2=;707;791;766;672;608;633;657;684;735;625;401;259
01/06/20;ES09;1-;151;124;78;50;34;90;120;233;321;526;618;634
01/06/20;ES09;1=;598;564;544;505;483;479;470;480;479;392;344;251
01/06/20;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/20;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/20;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/20;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/20;ES10;2-;116;73;45;36;56;142;344;558;502;461;476;518
01/06/20;ES10;2=;524;578;629;534;460;542;534;525;496;347;259;177
01/06/20;ES11;1-;1182;0;94;71;49;77;486;3001;4854;3928;3406;2526
01/06/20;ES11;1=;2345;2150;2580;3909;2772;1931;1937;2320;2042;1850;1451;846
