DIA,MES,ANO,HORA,VELOCIDAD VIENTO,DIR. VIENTO,TEMPERATURA,HUMEDAD RELATIVA,PRESION BARIOMETRICA,PRECIPITACIONES
1,2,2019,22,2.19,261.0,5.0,72,926,0.0
1,2,2019,23,2.14,254.0,5.4,67,927,0.0
1,2,2019,24,2.04,244.0,5.2,65,927,0.0
1,2,2020,1,1.27,214.0,11.9,96,953,0.0
1,2,2020,2,1.26,205.0,11.8,97,952,0.0
1,2,2020,3,0.89,205.0,12.0,95,952,0.0
1,2,2020,4,1.03,200.0,12.1,94,952,0.0
1,2,2020,5,1.0,199.0,12.0,94,952,0.0
1,2,2020,6,1.78,234.0,11.7,97,952,0.0
1,2,2020,7,2.13,234.0,11.8,97,952,0.0
1,2,2020,8,2.03,233.0,11.9,96,952,0.0
1,2,2020,9,1.68,231.0,12.1,94,952,0.0
1,2,2020,10,1.98,230.0,12.5,92,953,0.0
1,2,2020,11,1.85,249.0,13.8,85,954,0.0
1,2,2020,12,2.1,236.0,15.0,81,955,0.0
1,2,2020,13,2.38,234.0,17.3,69,955,0.0
1,2,2020,14,2.48,209.0,18.1,64,955,0.0
1,2,2020,15,2.64,225.0,17.6,68,954,0.0
1,2,2020,16,2.52,223.0,17.4,68,954,0.0
1,2,2020,17,2.27,200.0,17.3,68,955,0.0
1,2,2020,18,1.37,205.0,16.3,72,955,0.0
1,2,2020,19,0.96,205.0,14.8,78,955,0.0
1,2,2020,20,0.81,245.0,13.7,83,956,0.0
1,2,2020,21,0.73,254.0,13.3,85,956,0.0
1,2,2020,22,0.84,140.0,12.4,90,957,0.0
1,2,2020,23,0.76,192.0,11.9,93,957,0.0
1,2,2020,24,1.06,254.0,11.8,94,957,0.0
1,2,2021,1,2.29,263.0,12.9,62,942,0.0
1,2,2021,2,1.64,250.0,11.4,79,942,0.0
1,2,2021,3,0.93,189.0,10.1,90,943,0.0
1,2,2021,4,0.59,208.0,8.8,92,943,0.0
1,2,2021,5,0.64,237.0,8.4,95,943,0.0
1,2,2021,6,0.81,254.0,8.5,93,943,0.0
1,2,2021,7,1.09,240.0,9.0,81,943,0.0
1,2,2021,8,1.34,242.0,9.0,81,943,0.0
1,2,2021,9,1.8,221.0,9.4,77,944,0.0
1,2,2021,10,1.36,201.0,10.4,76,945,0.0
1,2,2021,11,2.46,214.0,11.3,76,945,0.0
1,2,2021,12,2.4,239.0,13.3,68,945,0.0
1,2,2021,13,2.81,232.0,14.4,64,945,0.0
1,2,2021,14,3.31,214.0,15.2,63,945,0.0
1,2,2021,15,2.97,226.0,16.6,57,945,0.0
1,2,2021,16,2.51,224.0,16.0,61,945,0.0
1,2,2021,17,2.34,237.0,16.7,58,945,0.0
1,2,2021,18,2.4,208.0,14.7,66,946,0.0
1,2,2021,19,2.16,221.0,12.7,73,946,0.0
1,2,2021,20,1.62,240.0,11.8,77,946,0.0
1,2,2021,21,1.94,228.0,11.2,80,947,0.0
1,2,2021,22,2.14,235.0,10.8,83,947,0.0
1,2,2021,23,1.26,182.0,10.4,85,947,0.0
1,2,2021,24,1.6,159.0,9.9,88,948,0.0
1,3,2019,1,0.72,77.0,9.9,56,955,0.0
1,3,2019,2,0.55,353.0,9.5,58,955,0.0
1,3,2019,3,0.65,48.0,9.0,60,955,0.0
